game_episode,event_count,duration_seconds,game_count,period_min,period_max
126283_1,49,123.7,1,1,1
126283_10,2,1.1480000000000246,1,1,1
126283_11,96,183.26999999999998,1,1,1
126283_12,3,2.0330000000000155,1,1,1
126283_13,28,52.66599999999994,1,1,1
126283_14,37,83.75300000000016,1,1,1
126283_15,30,73.5340000000001,1,1,1
126283_17,5,3.599999999999909,1,1,1
126283_18,4,3.7770000000000437,1,1,1
126283_19,16,18.837999999999965,1,1,1
126283_20,4,1.678000000000111,1,1,1
126283_21,39,58.98900000000003,1,1,1
126283_22,9,9.720000000000027,1,1,1
126283_23,81,160.5,1,1,1
126283_24,75,141.23299999999995,1,1,1
126283_25,6,4.599999999999909,1,1,1
126283_26,17,29.754000000000133,1,1,1
126283_27,18,27.233000000000175,1,1,1
126283_28,11,18.90000000000009,1,1,1
126283_29,45,102.44900000000007,1,1,1
126283_3,3,2.4000000000000057,1,1,1
126283_30,20,38.37599999999975,1,1,1
126283_31,13,33.49000000000024,1,1,1
126283_32,46,94.41600000000017,1,1,1
126283_33,43,80.06600000000026,1,1,1
126283_34,3,1.9339999999997417,1,1,1
126283_35,7,15.947999999999865,1,1,1
126283_36,61,100.93299999999999,1,1,1
126283_37,4,7.100000000000364,1,1,1
126283_38,31,47.63299999999981,1,1,1
126283_4,7,5.634999999999991,1,1,1
126283_40,29,47.51399999999967,1,2,2
126283_41,16,34.4670000000001,1,2,2
126283_42,5,6.600000000000364,1,2,2
126283_43,26,45.633000000000294,1,2,2
126283_44,32,50.99999999999997,1,2,2
126283_45,23,59.0329999999999,1,2,2
126283_46,36,54.218999999999994,1,2,2
126283_47,54,127.38700000000017,1,2,2
126283_48,59,117.20000000000027,1,2,2
126283_49,33,72.24599999999964,1,2,2
126283_5,3,2.700000000000017,1,1,1
126283_50,42,91.8499999999998,1,2,2
126283_51,28,55.97600000000023,1,2,2
126283_52,7,6.166999999999916,1,2,2
126283_53,44,64.03600000000029,1,2,2
126283_54,17,26.266999999999825,1,2,2
126283_55,66,246.9449999999997,1,2,2
126283_56,22,36.27899999999954,1,2,2
126283_58,9,20.047999999999774,1,2,2
126283_59,11,17.03400000000056,1,2,2
126283_6,23,22.855999999999995,1,1,1
126283_60,65,98.19999999999982,1,2,2
126283_61,11,13.90300000000002,1,2,2
126283_62,4,5.036000000000058,1,2,2
126283_63,32,45.787000000000035,1,2,2
126283_64,17,32.5630000000001,1,2,2
126283_65,4,2.963999999999942,1,2,2
126283_66,5,6.613000000000511,1,2,2
126283_67,4,2.449000000000069,1,2,2
126283_68,8,38.5590000000002,1,2,2
126283_69,4,4.307999999999993,1,2,2
126283_7,89,180.673,1,1,1
