column,dtype,non_null,missing_pct,unique
game_id,int64,228,0.0,228
season_id,int64,228,0.0,1
competition_id,int64,228,0.0,1
game_day,int64,228,0.0,38
game_date,datetime64[ns],228,0.0,141
home_team_id,int64,228,0.0,12
away_team_id,int64,228,0.0,12
home_score,int64,228,0.0,7
away_score,int64,228,0.0,8
venue,object,228,0.0,14
competition_name,object,228,0.0,1
country_name,object,228,0.0,1
season_name,int64,228,0.0,1
home_team_name,object,228,0.0,12
home_team_name_ko,object,228,0.0,12
away_team_name,object,228,0.0,12
away_team_name_ko,object,228,0.0,12
