iter	RMSE
0	22.23636934
1	20.2894885
2	18.51697722
3	16.89207235
4	15.39377579
5	14.14096247
6	12.94199662
7	11.88442164
8	10.92393475
9	10.10528076
10	9.254428074
11	8.498303476
12	7.795005241
13	7.155673542
14	6.594285011
15	6.085089723
16	5.654414292
17	5.222096741
18	4.860836878
19	4.51354866
20	4.220405832
21	3.952274308
22	3.722244401
23	3.50232569
24	3.310064413
25	3.11609925
26	2.942974091
27	2.802439224
28	2.674814537
29	2.560625372
30	2.454362803
31	2.370030881
32	2.291252159
33	2.218597493
34	2.153063495
35	2.09757327
36	2.042154877
37	1.988398822
38	1.943191215
39	1.901590664
40	1.87100177
41	1.836900486
42	1.800994782
43	1.773725153
44	1.748709078
45	1.722591308
46	1.698840181
47	1.679472653
48	1.656507949
49	1.640202297
50	1.620270967
51	1.606930983
52	1.59228567
53	1.578485429
54	1.567327537
55	1.555596345
56	1.547069484
57	1.534175664
58	1.522664144
59	1.512558269
60	1.497522913
61	1.492195061
62	1.48092798
63	1.466700731
64	1.456827399
65	1.44853372
66	1.439373805
67	1.432171578
68	1.429126262
69	1.413196518
70	1.404540779
71	1.399001316
72	1.392602885
73	1.379802991
74	1.375698803
75	1.36585956
76	1.358808081
77	1.355763921
78	1.346937028
79	1.341821696
80	1.327030792
81	1.318837267
82	1.309559134
83	1.298751262
84	1.293066709
85	1.282261994
86	1.272342422
87	1.265550458
88	1.259208975
89	1.253947766
90	1.249208245
91	1.243304756
92	1.238093536
93	1.230260203
94	1.222305657
95	1.217058753
96	1.210656595
97	1.204992692
98	1.200400413
99	1.195010283
100	1.191428122
101	1.184621025
102	1.175910388
103	1.167723497
104	1.16413808
105	1.160441785
106	1.151426889
107	1.147724187
108	1.144173115
109	1.139562004
110	1.132735912
111	1.127161652
112	1.120173934
113	1.11518361
114	1.109181483
115	1.10614469
116	1.101667862
117	1.094386467
118	1.090794534
119	1.086229275
120	1.084039776
121	1.082574894
122	1.076111378
123	1.071518918
124	1.067838166
125	1.062751047
126	1.058060283
127	1.052300222
128	1.04802445
129	1.04057204
130	1.037202431
131	1.033967581
132	1.03119253
133	1.024568424
134	1.021730361
135	1.019297292
136	1.017902894
137	1.016019612
138	1.011108059
139	1.005149998
140	0.9985867531
141	0.9939013561
142	0.9866427401
143	0.9796753602
144	0.9758280858
145	0.9715750558
146	0.9666702471
147	0.9607203516
148	0.9562774637
149	0.9531286555
150	0.9500587471
151	0.9461330331
152	0.9431176492
153	0.9392833966
154	0.9366267538
155	0.9328611807
156	0.9300938032
157	0.9257271442
158	0.9226556572
159	0.9193786979
160	0.9153487199
161	0.9110333828
162	0.9083213725
163	0.9046232922
164	0.9024490649
165	0.9003947069
166	0.8959309829
167	0.8915366055
168	0.8892446782
169	0.8855445758
170	0.882226288
171	0.8793115917
172	0.8764525973
173	0.8734228974
174	0.8716683129
175	0.8670528874
176	0.8633553712
177	0.8610255995
178	0.8588384387
