iter	Passed	Remaining
0	35	35203
1	72	36182
2	108	36167
3	147	36607
4	184	36721
5	221	36740
6	260	36972
7	306	38059
8	362	39887
9	411	40701
10	451	40624
11	494	40720
12	536	40710
13	577	40649
14	617	40555
15	658	40526
16	695	40242
17	739	40320
18	784	40485
19	825	40439
20	864	40300
21	902	40129
22	940	39959
23	978	39809
24	1016	39652
25	1054	39497
26	1090	39291
27	1127	39148
28	1173	39304
29	1218	39399
30	1273	39795
31	1312	39695
32	1349	39551
33	1387	39418
34	1424	39272
35	1463	39177
36	1499	39028
37	1539	38980
38	1580	38942
39	1624	38991
40	1664	38924
41	1701	38818
42	1738	38691
43	1774	38560
44	1812	38465
45	1848	38344
46	1884	38210
47	1918	38054
48	1955	37953
49	1998	37967
50	2039	37958
51	2085	38018
52	2123	37935
53	2161	37870
54	2199	37791
55	2237	37714
56	2286	37824
57	2334	37910
58	2375	37883
59	2419	37909
60	2463	37917
61	2501	37852
62	2540	37785
63	2578	37707
64	2618	37667
65	2655	37585
66	2689	37459
67	2726	37363
68	2761	37259
69	2799	37190
70	2848	37272
71	2897	37344
72	2936	37289
73	2973	37204
74	3012	37154
75	3051	37103
76	3092	37069
77	3125	36947
78	3163	36880
79	3201	36815
80	3239	36752
81	3283	36763
82	3323	36718
83	3359	36633
84	3397	36569
85	3438	36545
86	3481	36535
87	3521	36492
88	3557	36417
89	3594	36341
90	3630	36269
91	3671	36233
92	3713	36214
93	3756	36206
94	3793	36141
95	3832	36092
96	3870	36034
97	3908	35970
98	3945	35910
99	3981	35836
100	4019	35778
101	4062	35762
102	4104	35748
103	4144	35702
104	4181	35641
105	4218	35575
106	4254	35506
107	4294	35472
108	4330	35400
109	4366	35329
110	4403	35270
111	4438	35194
112	4481	35178
113	4519	35128
114	4559	35092
115	4598	35041
116	4635	34981
117	4672	34925
118	4708	34857
119	4747	34818
120	4787	34782
121	4825	34730
122	4865	34688
123	4905	34652
124	4947	34635
125	4988	34602
126	5025	34542
127	5061	34479
128	5099	34432
129	5134	34363
130	5171	34307
131	5208	34247
132	5243	34183
133	5279	34120
134	5329	34148
135	5373	34138
136	5412	34092
137	5449	34037
138	5487	33990
139	5525	33942
140	5561	33883
141	5599	33833
142	5638	33789
143	5678	33754
144	5716	33708
145	5760	33695
146	5799	33651
147	5837	33603
148	5873	33545
149	5909	33487
150	5946	33435
151	5985	33390
152	6020	33331
153	6058	33280
154	6094	33222
155	6139	33213
156	6180	33185
157	6227	33188
158	6266	33144
159	6304	33098
160	6342	33049
161	6379	32998
162	6421	32976
163	6463	32945
164	6501	32901
165	6544	32881
166	6597	32906
167	6643	32901
168	6680	32847
169	6716	32792
170	6751	32730
171	6789	32683
172	6824	32623
173	6859	32564
174	6896	32510
175	6930	32447
176	6972	32422
177	7011	32378
178	7058	32374
179	7098	32337
180	7138	32302
181	7176	32255
182	7214	32209
183	7253	32166
184	7288	32110
185	7325	32061
186	7363	32014
187	7402	31970
188	7444	31944
189	7485	31912
190	7523	31865
191	7560	31816
192	7598	31773
193	7634	31719
194	7670	31663
195	7706	31611
196	7742	31560
197	7785	31534
198	7828	31509
199	7872	31491
200	7913	31457
201	7955	31426
202	7993	31384
203	8032	31340
204	8069	31294
205	8106	31244
206	8147	31211
207	8184	31163
208	8224	31127
209	8263	31086
210	8305	31058
211	8343	31012
212	8380	30964
213	8416	30913
214	8454	30869
215	8491	30821
216	8527	30771
217	8562	30714
218	8598	30662
219	8647	30658
220	8687	30622
221	8736	30616
222	8776	30579
223	8818	30548
224	8854	30499
225	8895	30463
226	8935	30427
227	8973	30383
228	9012	30343
229	9052	30307
230	9092	30267
231	9135	30241
232	9172	30192
233	9209	30145
234	9244	30093
235	9281	30048
236	9317	29997
237	9360	29969
238	9395	29915
239	9431	29865
240	9476	29845
241	9520	29821
242	9564	29794
243	9604	29756
244	9644	29720
245	9685	29686
246	9731	29667
247	9769	29623
248	9808	29583
249	9846	29539
250	9886	29501
251	9930	29475
252	9972	29445
253	10009	29397
254	10046	29352
255	10083	29305
256	10119	29254
257	10157	29211
258	10191	29159
259	10227	29109
260	10264	29062
261	10311	29046
262	10354	29015
263	10395	28980
264	10433	28938
265	10471	28895
266	10509	28850
267	10551	28818
268	10589	28777
269	10629	28739
270	10667	28695
271	10704	28650
272	10745	28614
273	10789	28588
274	10827	28545
275	10866	28503
276	10902	28457
277	10941	28416
278	10979	28374
279	11019	28335
280	11058	28295
281	11095	28251
282	11146	28239
283	11189	28210
284	11233	28183
285	11276	28150
286	11311	28100
287	11352	28065
